"row_number","Host","Parasitoid","Temp","Rep","Individuals","HPD","Vial"
1,"BIP","A",20,1,1,"H",1
2,"BIP","A",20,1,2,"H",1
3,"BIP","A",20,1,3,"H",1
4,"BIP","A",20,1,4,"H",1
5,"BIP","A",20,1,5,"H",1
6,"BIP","A",20,1,6,"H",1
7,"BIP","A",20,1,7,"D",1
8,"BIP","A",20,1,8,"D",1
9,"BIP","A",20,1,9,"D",1
10,"BIP","A",20,1,10,"D",1
11,"BIP","A",20,1,11,"D",1
12,"BIP","A",20,1,12,"D",1
13,"BIP","A",20,1,13,"D",1
14,"BIP","A",20,1,14,"D",1
15,"BIP","A",20,1,15,"D",1
16,"BIP","A",20,1,16,"D",1
17,"BIP","A",20,1,17,"D",1
18,"BIP","A",20,1,18,"D",1
19,"BIP","A",20,1,19,"D",1
20,"BIP","A",20,1,20,"D",1
21,"BIP","A",20,1,21,"D",1
22,"BIP","A",20,1,22,"D",1
23,"BIP","A",20,1,23,"D",1
24,"BIP","A",20,1,24,"D",1
25,"BIP","A",20,1,25,"D",1
26,"BIP","A",20,1,26,"D",1
27,"BIP","A",20,1,27,"D",1
28,"BIP","A",20,1,28,"D",1
29,"BIP","A",20,1,29,"D",1
30,"BIP","A",20,1,30,"D",1
31,"BIP","A",20,1,31,"D",1
32,"BIP","A",20,1,32,"D",1
33,"BIP","A",20,1,33,"D",1
34,"BIP","A",20,1,34,"D",1
35,"BIP","A",20,1,35,"D",1
36,"BIP","A",20,1,36,"D",1
37,"BIP","A",20,1,37,"D",1
38,"BIP","A",20,1,38,"D",1
39,"BIP","A",20,1,39,"D",1
40,"BIP","A",20,1,40,"D",1
41,"BIP","A",20,1,41,"D",1
42,"BIP","A",20,1,42,"D",1
43,"BIP","A",20,1,43,"D",1
44,"BIP","A",20,1,44,"D",1
45,"BIP","A",20,1,45,"D",1
46,"BIP","A",20,1,46,"D",1
47,"BIP","A",20,1,47,"D",1
48,"BIP","A",20,1,48,"D",1
49,"BIP","A",20,1,49,"D",1
50,"BIP","A",20,1,50,"D",1
51,"BIP","A",20,2,1,"H",4
52,"BIP","A",20,2,2,"H",4
53,"BIP","A",20,2,3,"H",4
54,"BIP","A",20,2,4,"H",4
55,"BIP","A",20,2,5,"H",4
56,"BIP","A",20,2,6,"H",4
57,"BIP","A",20,2,7,"H",4
