Host,Parasitoid,Temp,Rep,Block,Individuals,HPD,Edate,Ptoid,Psex
BIP,M,20,1,2,1,H,13,,
BIP,M,20,1,2,2,H,13,,
BIP,M,20,1,2,3,H,13,,
BIP,M,20,1,2,4,H,13,,
BIP,M,20,1,2,5,H,14,,
BIP,M,20,1,2,6,H,14,,
BIP,M,20,1,2,7,H,14,,
BIP,M,20,1,2,8,H,14,,
BIP,M,20,1,2,9,H,14,,
BIP,M,20,1,2,10,H,15,,
BIP,M,20,1,2,11,H,15,,
BIP,M,20,1,2,12,H,15,,
BIP,M,20,1,2,13,H,17,,
BIP,M,20,1,2,14,D,,,
BIP,M,20,1,2,15,D,,,
BIP,M,20,1,2,16,D,,,
BIP,M,20,1,2,17,D,,,
BIP,M,20,1,2,18,D,,,
BIP,M,20,1,2,19,D,,,
BIP,M,20,1,2,20,D,,,
BIP,M,20,1,2,21,D,,,
BIP,M,20,1,2,22,D,,,
BIP,M,20,1,2,23,D,,,
BIP,M,20,1,2,24,D,,,
BIP,M,20,1,2,25,D,,,
BIP,M,20,1,2,26,D,,,
BIP,M,20,1,2,27,D,,,
BIP,M,20,1,2,28,D,,,
BIP,M,20,1,2,29,D,,,
BIP,M,20,1,2,30,D,,,
BIP,M,20,1,2,31,D,,,
BIP,M,20,1,2,32,D,,,
BIP,M,20,1,2,33,D,,,
BIP,M,20,1,2,34,D,,,
BIP,M,20,1,2,35,D,,,
BIP,M,20,1,2,36,D,,,
BIP,M,20,1,2,37,D,,,
BIP,M,20,1,2,38,D,,,
BIP,M,20,1,2,39,D,,,
BIP,M,20,1,2,40,D,,,
BIP,M,20,1,2,41,D,,,
BIP,M,20,1,2,42,D,,,
BIP,M,20,1,2,43,D,,,
BIP,M,20,1,2,44,D,,,
BIP,M,20,1,2,45,D,,,
BIP,M,20,1,2,46,D,,,
BIP,M,20,1,2,47,D,,,
BIP,M,20,1,2,48,D,,,
BIP,M,20,1,2,49,D,,,
BIP,M,20,1,2,50,D,,,
BIP,M,20,2,2,1,H,14,,
BIP,M,20,2,2,2,H,14,,
BIP,M,20,2,2,3,H,14,,
BIP,M,20,2,2,4,H,14,,
BIP,M,20,2,2,5,H,15,,
BIP,M,20,2,2,6,H,15,,
BIP,M,20,2,2,7,H,15,,
BIP,M,20,2,2,8,H,15,,
BIP,M,20,2,2,9,H,15,,
BIP,M,20,2,2,10,H,15,,
BIP,M,20,2,2,11,H,15,,
BIP,M,20,2,2,12,H,15,,
BIP,M,20,2,2,13,H,15,,
BIP,M,20,2,2,14,H,15,,
BIP,M,20,2,2,15,H,15,,
BIP,M,20,2,2,16,H,16,,
BIP,M,20,2,2,17,P,38,ML,MFL
BIP,M,20,2,2,18,P,50,MG,MGM
BIP,M,20,2,2,19,D,,,
BIP,M,20,2,2,20,D,,,
BIP,M,20,2,2,21,D,,,
BIP,M,20,2,2,22,D,,,
BIP,M,20,2,2,23,D,,,
BIP,M,20,2,2,24,D,,,
BIP,M,20,2,2,25,D,,,
BIP,M,20,2,2,26,D,,,
BIP,M,20,2,2,27,D,,,
BIP,M,20,2,2,28,D,,,
BIP,M,20,2,2,29,D,,,
BIP,M,20,2,2,30,D,,,
BIP,M,20,2,2,31,D,,,
BIP,M,20,2,2,32,D,,,
BIP,M,20,2,2,33,D,,,
BIP,M,20,2,2,34,D,,,
BIP,M,20,2,2,35,D,,,
BIP,M,20,2,2,36,D,,,
BIP,M,20,2,2,37,D,,,
BIP,M,20,2,2,38,D,,,
BIP,M,20,2,2,39,D,,,
BIP,M,20,2,2,40,D,,,
BIP,M,20,2,2,41,D,,,
BIP,M,20,2,2,42,D,,,
BIP,M,20,2,2,43,D,,,
BIP,M,20,2,2,44,D,,,
BIP,M,20,2,2,45,D,,,
BIP,M,20,2,2,46,D,,,
BIP,M,20,2,2,47,D,,,
BIP,M,20,2,2,48,D,,,
BIP,M,20,2,2,49,D,,,
BIP,M,20,2,2,50,D,,,
BIP,M,20,3,2,1,H,13,,
BIP,M,20,3,2,2,H,13,,
BIP,M,20,3,2,3,H,13,,
BIP,M,20,3,2,4,H,14,,
BIP,M,20,3,2,5,H,14,,
BIP,M,20,3,2,6,H,14,,
BIP,M,20,3,2,7,H,14,,
BIP,M,20,3,2,8,H,14,,
BIP,M,20,3,2,9,H,14,,
BIP,M,20,3,2,10,H,14,,
BIP,M,20,3,2,11,H,14,,
BIP,M,20,3,2,12,H,15,,
BIP,M,20,3,2,13,H,15,,
BIP,M,20,3,2,14,H,16,,
BIP,M,20,3,2,15,H,16,,
BIP,M,20,3,2,16,H,17,,
BIP,M,20,3,2,17,D,,,
BIP,M,20,3,2,18,D,,,
BIP,M,20,3,2,19,D,,,
BIP,M,20,3,2,20,D,,,
BIP,M,20,3,2,21,D,,,
BIP,M,20,3,2,22,D,,,
BIP,M,20,3,2,23,D,,,
BIP,M,20,3,2,24,D,,,
BIP,M,20,3,2,25,D,,,
BIP,M,20,3,2,26,D,,,
BIP,M,20,3,2,27,D,,,
BIP,M,20,3,2,28,D,,,
BIP,M,20,3,2,29,D,,,
BIP,M,20,3,2,30,D,,,
BIP,M,20,3,2,31,D,,,
BIP,M,20,3,2,32,D,,,
BIP,M,20,3,2,33,D,,,
BIP,M,20,3,2,34,D,,,
BIP,M,20,3,2,35,D,,,
BIP,M,20,3,2,36,D,,,
BIP,M,20,3,2,37,D,,,
BIP,M,20,3,2,38,D,,,
BIP,M,20,3,2,39,D,,,
BIP,M,20,3,2,40,D,,,
BIP,M,20,3,2,41,D,,,
BIP,M,20,3,2,42,D,,,
BIP,M,20,3,2,43,D,,,
BIP,M,20,3,2,44,D,,,
BIP,M,20,3,2,45,D,,,
BIP,M,20,3,2,46,D,,,
BIP,M,20,3,2,47,D,,,
BIP,M,20,3,2,48,D,,,
BIP,M,20,3,2,49,D,,,
BIP,M,20,3,2,50,D,,,
BIP,M,20,9,5,1,H,13,,
BIP,M,20,9,5,2,H,13,,
BIP,M,20,9,5,3,H,13,,
BIP,M,20,9,5,4,H,14,,
BIP,M,20,9,5,5,H,14,,
BIP,M,20,9,5,6,H,14,,
BIP,M,20,9,5,7,H,14,,
BIP,M,20,9,5,8,H,14,,
BIP,M,20,9,5,9,H,14,,
BIP,M,20,9,5,10,H,14,,
BIP,M,20,9,5,11,H,14,,
BIP,M,20,9,5,12,H,14,,
BIP,M,20,9,5,13,H,14,,
BIP,M,20,9,5,14,H,14,,
BIP,M,20,9,5,15,H,14,,
BIP,M,20,9,5,16,H,14,,
BIP,M,20,9,5,17,H,14,,
BIP,M,20,9,5,18,H,14,,
BIP,M,20,9,5,19,H,14,,
BIP,M,20,9,5,20,H,14,,
BIP,M,20,9,5,21,H,14,,
BIP,M,20,9,5,22,H,14,,
BIP,M,20,9,5,23,H,14,,
BIP,M,20,9,5,24,H,14,,
BIP,M,20,9,5,25,H,14,,
BIP,M,20,9,5,26,H,15,,
BIP,M,20,9,5,27,H,15,,
BIP,M,20,9,5,28,H,15,,
BIP,M,20,9,5,29,H,15,,
BIP,M,20,9,5,30,H,15,,
BIP,M,20,9,5,31,H,15,,
BIP,M,20,9,5,32,H,15,,
BIP,M,20,9,5,33,H,16,,
BIP,M,20,9,5,34,P,51,MG,MGF
BIP,M,20,9,5,35,D,,,
BIP,M,20,9,5,36,D,,,
BIP,M,20,9,5,37,D,,,
BIP,M,20,9,5,38,D,,,
BIP,M,20,9,5,39,D,,,
BIP,M,20,9,5,40,D,,,
BIP,M,20,9,5,41,D,,,
BIP,M,20,9,5,42,D,,,
BIP,M,20,9,5,43,D,,,
BIP,M,20,9,5,44,D,,,
BIP,M,20,9,5,45,D,,,
BIP,M,20,9,5,46,D,,,
BIP,M,20,9,5,47,D,,,
BIP,M,20,9,5,48,D,,,
BIP,M,20,9,5,49,D,,,
BIP,M,20,9,5,50,D,,,
BIP,M,20,10,5,1,H,14,,
BIP,M,20,10,5,2,H,14,,
BIP,M,20,10,5,3,H,14,,
BIP,M,20,10,5,4,H,14,,
BIP,M,20,10,5,5,H,14,,
BIP,M,20,10,5,6,H,14,,
BIP,M,20,10,5,7,H,14,,
BIP,M,20,10,5,8,H,14,,
BIP,M,20,10,5,9,H,15,,
BIP,M,20,10,5,10,H,15,,
BIP,M,20,10,5,11,H,16,,
BIP,M,20,10,5,12,H,16,,
BIP,M,20,10,5,13,H,17,,
BIP,M,20,10,5,14,D,,,
BIP,M,20,10,5,15,D,,,
BIP,M,20,10,5,16,D,,,
BIP,M,20,10,5,17,D,,,
BIP,M,20,10,5,18,D,,,
BIP,M,20,10,5,19,D,,,
BIP,M,20,10,5,20,D,,,
BIP,M,20,10,5,21,D,,,
BIP,M,20,10,5,22,D,,,
BIP,M,20,10,5,23,D,,,
BIP,M,20,10,5,24,D,,,
BIP,M,20,10,5,25,D,,,
BIP,M,20,10,5,26,D,,,
BIP,M,20,10,5,27,D,,,
BIP,M,20,10,5,28,D,,,
BIP,M,20,10,5,29,D,,,
BIP,M,20,10,5,30,D,,,
BIP,M,20,10,5,31,D,,,
BIP,M,20,10,5,32,D,,,
BIP,M,20,10,5,33,D,,,
BIP,M,20,10,5,34,D,,,
BIP,M,20,10,5,35,D,,,
BIP,M,20,10,5,36,D,,,
BIP,M,20,10,5,37,D,,,
BIP,M,20,10,5,38,D,,,
BIP,M,20,10,5,39,D,,,
BIP,M,20,10,5,40,D,,,
BIP,M,20,10,5,41,D,,,
BIP,M,20,10,5,42,D,,,
BIP,M,20,10,5,43,D,,,
BIP,M,20,10,5,44,D,,,
BIP,M,20,10,5,45,D,,,
BIP,M,20,10,5,46,D,,,
BIP,M,20,10,5,47,D,,,
BIP,M,20,10,5,48,D,,,
BIP,M,20,10,5,49,D,,,
BIP,M,20,10,5,50,D,,,
BIP,M,20,11,5,1,H,13,,
BIP,M,20,11,5,2,H,13,,
BIP,M,20,11,5,3,H,13,,
BIP,M,20,11,5,4,H,13,,
BIP,M,20,11,5,5,H,14,,
BIP,M,20,11,5,6,H,14,,
BIP,M,20,11,5,7,H,14,,
BIP,M,20,11,5,8,H,14,,
BIP,M,20,11,5,9,H,14,,
BIP,M,20,11,5,10,H,14,,
BIP,M,20,11,5,11,H,14,,
BIP,M,20,11,5,12,H,14,,
BIP,M,20,11,5,13,H,14,,
BIP,M,20,11,5,14,H,14,,
BIP,M,20,11,5,15,H,14,,
BIP,M,20,11,5,16,H,14,,
BIP,M,20,11,5,17,H,14,,
BIP,M,20,11,5,18,H,14,,
BIP,M,20,11,5,19,H,14,,
BIP,M,20,11,5,20,H,15,,
BIP,M,20,11,5,21,H,15,,
BIP,M,20,11,5,22,H,15,,
BIP,M,20,11,5,23,D,,,
BIP,M,20,11,5,24,D,,,
BIP,M,20,11,5,25,D,,,
BIP,M,20,11,5,26,D,,,
BIP,M,20,11,5,27,D,,,
BIP,M,20,11,5,28,D,,,
