"Host","Parasitoid","Temp","Rep","Individuals","HPD","Ptoid"
"BIP","M",20,1,1,"H",
"BIP","M",20,1,2,"H",
"BIP","M",20,1,3,"H",
"BIP","M",20,1,4,"H",
"BIP","M",20,1,5,"H",
"BIP","M",20,1,6,"H",
"BIP","M",20,1,7,"H",
"BIP","M",20,1,8,"H",
"BIP","M",20,1,9,"H",
"BIP","M",20,1,10,"H",
"BIP","M",20,1,11,"H",
"BIP","M",20,1,12,"H",
"BIP","M",20,1,13,"H",
"BIP","M",20,1,14,"D",
"BIP","M",20,1,15,"D",
"BIP","M",20,1,16,"D",
"BIP","M",20,1,17,"D",
"BIP","M",20,1,18,"D",
"BIP","M",20,1,19,"D",
"BIP","M",20,1,20,"D",
"BIP","M",20,1,21,"D",
"BIP","M",20,1,22,"D",
"BIP","M",20,1,23,"D",
"BIP","M",20,1,24,"D",
"BIP","M",20,1,25,"D",
"BIP","M",20,1,26,"D",
"BIP","M",20,1,27,"D",
"BIP","M",20,1,28,"D",
"BIP","M",20,1,29,"D",
"BIP","M",20,1,30,"D",
"BIP","M",20,1,31,"D",
"BIP","M",20,1,32,"D",
"BIP","M",20,1,33,"D",
"BIP","M",20,1,34,"D",
"BIP","M",20,1,35,"D",
"BIP","M",20,1,36,"D",
"BIP","M",20,1,37,"D",
"BIP","M",20,1,38,"D",
"BIP","M",20,1,39,"D",
"BIP","M",20,1,40,"D",
"BIP","M",20,1,41,"D",
"BIP","M",20,1,42,"D",
"BIP","M",20,1,43,"D",
"BIP","M",20,1,44,"D",
"BIP","M",20,1,45,"D",
"BIP","M",20,1,46,"D",
"BIP","M",20,1,47,"D",
"BIP","M",20,1,48,"D",
"BIP","M",20,1,49,"D",
"BIP","M",20,1,50,"D",
"BIP","M",20,2,1,"H",
"BIP","M",20,2,2,"H",
"BIP","M",20,2,3,"H",
"BIP","M",20,2,4,"H",
"BIP","M",20,2,5,"H",
"BIP","M",20,2,6,"H",
"BIP","M",20,2,7,"H",
"BIP","M",20,2,8,"H",
"BIP","M",20,2,9,"H",
"BIP","M",20,2,10,"H",
"BIP","M",20,2,11,"H",
"BIP","M",20,2,12,"H",
"BIP","M",20,2,13,"H",
"BIP","M",20,2,14,"H",
"BIP","M",20,2,15,"H",
"BIP","M",20,2,16,"H",
"BIP","M",20,2,17,"P","ML"
"BIP","M",20,2,18,"P","MG"
"BIP","M",20,2,19,"D",
"BIP","M",20,2,20,"D",
"BIP","M",20,2,21,"D",
"BIP","M",20,2,22,"D",
"BIP","M",20,2,23,"D",
"BIP","M",20,2,24,"D",
"BIP","M",20,2,25,"D",
"BIP","M",20,2,26,"D",
"BIP","M",20,2,27,"D",
"BIP","M",20,2,28,"D",
"BIP","M",20,2,29,"D",
"BIP","M",20,2,30,"D",
"BIP","M",20,2,31,"D",
"BIP","M",20,2,32,"D",
"BIP","M",20,2,33,"D",
"BIP","M",20,2,34,"D",
"BIP","M",20,2,35,"D",
"BIP","M",20,2,36,"D",
"BIP","M",20,2,37,"D",
"BIP","M",20,2,38,"D",
"BIP","M",20,2,39,"D",
"BIP","M",20,2,40,"D",
"BIP","M",20,2,41,"D",
"BIP","M",20,2,42,"D",
"BIP","M",20,2,43,"D",
"BIP","M",20,2,44,"D",
"BIP","M",20,2,45,"D",
"BIP","M",20,2,46,"D",
"BIP","M",20,2,47,"D",
"BIP","M",20,2,48,"D",
"BIP","M",20,2,49,"D",
"BIP","M",20,2,50,"D",
"BIP","M",20,3,1,"H",
"BIP","M",20,3,2,"H",
"BIP","M",20,3,3,"H",
"BIP","M",20,3,4,"H",
"BIP","M",20,3,5,"H",
"BIP","M",20,3,6,"H",
"BIP","M",20,3,7,"H",
"BIP","M",20,3,8,"H",
"BIP","M",20,3,9,"H",
"BIP","M",20,3,10,"H",
"BIP","M",20,3,11,"H",
"BIP","M",20,3,12,"H",
"BIP","M",20,3,13,"H",
"BIP","M",20,3,14,"H",
"BIP","M",20,3,15,"H",
"BIP","M",20,3,16,"H",
"BIP","M",20,3,17,"D",
"BIP","M",20,3,18,"D",
"BIP","M",20,3,19,"D",
"BIP","M",20,3,20,"D",
"BIP","M",20,3,21,"D",
"BIP","M",20,3,22,"D",
"BIP","M",20,3,23,"D",
"BIP","M",20,3,24,"D",
"BIP","M",20,3,25,"D",
"BIP","M",20,3,26,"D",
"BIP","M",20,3,27,"D",
"BIP","M",20,3,28,"D",
"BIP","M",20,3,29,"D",
"BIP","M",20,3,30,"D",
"BIP","M",20,3,31,"D",
"BIP","M",20,3,32,"D",
"BIP","M",20,3,33,"D",
"BIP","M",20,3,34,"D",
"BIP","M",20,3,35,"D",
"BIP","M",20,3,36,"D",
"BIP","M",20,3,37,"D",
"BIP","M",20,3,38,"D",
"BIP","M",20,3,39,"D",
"BIP","M",20,3,40,"D",
"BIP","M",20,3,41,"D",
"BIP","M",20,3,42,"D",
"BIP","M",20,3,43,"D",
"BIP","M",20,3,44,"D",
"BIP","M",20,3,45,"D",
"BIP","M",20,3,46,"D",
"BIP","M",20,3,47,"D",
"BIP","M",20,3,48,"D",
"BIP","M",20,3,49,"D",
"BIP","M",20,3,50,"D",
"BIP","M",20,9,1,"H",
"BIP","M",20,9,2,"H",
"BIP","M",20,9,3,"H",
"BIP","M",20,9,4,"H",
"BIP","M",20,9,5,"H",
"BIP","M",20,9,6,"H",
"BIP","M",20,9,7,"H",
"BIP","M",20,9,8,"H",
"BIP","M",20,9,9,"H",
"BIP","M",20,9,10,"H",
"BIP","M",20,9,11,"H",
"BIP","M",20,9,12,"H",
"BIP","M",20,9,13,"H",
"BIP","M",20,9,14,"H",
"BIP","M",20,9,15,"H",
"BIP","M",20,9,16,"H",
"BIP","M",20,9,17,"H",
"BIP","M",20,9,18,"H",
"BIP","M",20,9,19,"H",
"BIP","M",20,9,20,"H",
"BIP","M",20,9,21,"H",
"BIP","M",20,9,22,"H",
"BIP","M",20,9,23,"H",
"BIP","M",20,9,24,"H",
"BIP","M",20,9,25,"H",
"BIP","M",20,9,26,"H",
"BIP","M",20,9,27,"H",
"BIP","M",20,9,28,"H",
"BIP","M",20,9,29,"H",
"BIP","M",20,9,30,"H",
"BIP","M",20,9,31,"H",
"BIP","M",20,9,32,"H",
"BIP","M",20,9,33,"H",
"BIP","M",20,9,34,"P","MG"
"BIP","M",20,9,35,"D",
"BIP","M",20,9,36,"D",
"BIP","M",20,9,37,"D",
"BIP","M",20,9,38,"D",
"BIP","M",20,9,39,"D",
"BIP","M",20,9,40,"D",
"BIP","M",20,9,41,"D",
"BIP","M",20,9,42,"D",
"BIP","M",20,9,43,"D",
"BIP","M",20,9,44,"D",
"BIP","M",20,9,45,"D",
