Host,Parasitoid,Temp,Treat,Sex,individual,body_weight
BIP,D,28,N,F,1,0.062
BIP,D,28,N,F,2,0.048
BIP,D,28,N,F,3,0.062
BIP,D,28,N,F,4,0.06
BIP,D,28,N,F,5,0.052
BIP,D,28,N,F,6,0.048
BIP,D,28,N,F,7,0.051
BIP,D,28,N,F,8,0.061
BIP,D,28,N,F,9,0.061
BIP,D,28,N,F,10,0.054
BIP,D,28,N,F,11,0.06
BIP,D,28,N,F,12,0.047
BIP,D,28,N,F,13,0.039
BIP,D,28,N,F,14,0.058
BIP,D,28,N,F,15,0.061
BIP,D,28,N,F,16,0.048
BIP,D,28,N,F,17,0.056
BIP,D,28,N,F,18,0.055
BIP,D,28,N,F,19,0.06
BIP,D,28,N,F,20,0.058
BIP,G,24,N,F,1,0.059
BIP,G,24,N,F,2,0.055
BIP,G,24,N,F,3,0.073
BIP,G,24,N,F,4,0.053
BIP,G,24,N,F,5,0.058
BIP,G,24,N,F,6,0.068
BIP,G,24,N,F,7,0.06
BIP,G,24,N,F,8,0.059
BIP,G,24,N,F,9,0.048
BIP,G,24,N,F,10,0.066
BIP,D,24,N,F,1,0.049
BIP,D,24,N,F,2,0.053
BIP,D,24,N,F,3,0.053
BIP,D,24,N,F,4,0.058
BIP,D,24,N,F,5,0.067
BIP,D,24,N,F,6,0.066
BIP,D,24,N,F,7,0.056
BIP,D,24,N,F,8,0.063
BIP,D,24,N,F,9,0.051
BIP,D,24,N,F,10,0.054
BIP,D,24,N,F,11,0.062
BIP,D,24,N,F,12,0.048
BIP,D,24,N,F,13,0.049
BIP,D,24,N,F,14,0.045
BIP,D,24,N,F,15,0.056
BIP,D,24,N,F,16,0.056
BIP,D,24,N,F,17,0.053
BIP,D,24,N,F,18,0.06
BIP,D,24,N,F,19,0.068
BIP,D,24,N,F,20,0.055
BIP,G,20,N,F,1,0.063
BIP,G,20,N,F,2,0.062
BIP,G,20,N,F,3,0.091
BIP,G,20,N,F,4,0.056
BIP,D,20,N,F,1,0.064
BIP,D,20,N,F,2,0.064
BIP,D,20,N,F,3,0.064
BIP,D,20,N,F,4,0.056
BIP,D,20,N,F,5,0.075
BIP,D,20,N,F,6,0.069
BIP,D,20,N,F,7,0.065
BIP,D,20,N,F,8,0.061
BIP,D,20,N,F,9,0.054
BIP,D,20,N,F,10,0.074
BIP,D,20,N,F,11,0.064
BIP,D,20,N,F,12,0.076
BIP,D,20,N,F,13,0.063
BIP,D,20,N,F,14,0.056
BIP,D,20,N,F,15,0.054
BIP,D,20,N,F,16,0.052
BIP,D,20,N,F,17,0.07
BIP,D,20,N,F,18,0.076
BIP,D,20,N,F,19,0.066
BIP,D,20,N,F,20,0.064
BIR,D,28,N,F,1,0.058
BIR,D,28,N,F,2,0.052
BIR,D,28,N,F,3,0.061
BIR,D,28,N,F,4,0.052
BIR,D,28,N,F,5,0.051
BIR,D,28,N,F,6,0.051
BIR,D,28,N,F,7,0.056
BIR,D,28,N,F,8,0.054
BIR,D,28,N,F,9,0.057
BIR,D,28,N,F,10,0.057
BIR,D,28,N,F,11,0.058
BIR,D,28,N,F,12,0.056
BIR,D,28,N,F,13,0.059
BIR,D,28,N,F,14,0.056
BIR,D,28,N,F,15,0.054
BIR,D,28,N,F,16,0.048
BIR,D,28,N,F,17,0.056
BIR,D,28,N,F,18,0.039
BIR,D,28,N,F,19,0.04
BIR,D,28,N,F,20,0.047
BIR,A,24,N,F,1,0.1
BIR,A,24,N,F,2,0.093
BIR,A,24,N,F,3,0.103
BIR,A,24,N,F,4,0.115
BIR,A,24,N,F,5,0.093
BIR,A,24,N,F,6,0.112
BIR,A,24,N,F,7,0.112
BIR,A,24,N,F,8,0.089
BIR,A,24,N,F,9,0.117
BIR,A,24,N,F,10,0.083
BIR,A,24,N,F,11,0.118
BIR,A,24,N,F,12,0.117
BIR,A,24,N,F,13,0.09
BIR,A,24,N,F,14,0.096
BIR,A,24,N,F,15,0.104
BIR,A,24,N,F,16,0.095
BIR,A,24,N,F,17,0.085
BIR,A,24,N,F,18,0.095
BIR,A,24,N,F,19,0.09
BIR,A,24,N,F,20,0.121
BIR,G,24,N,F,1,0.055
BIR,G,24,N,F,2,0.076
BIR,G,24,N,F,3,0.078
BIR,G,24,N,F,4,0.051
BIR,G,24,N,F,5,0.066
BIR,G,24,N,F,6,0.069
BIR,G,24,N,F,7,0.07
BIR,G,24,N,F,8,0.074
BIR,G,24,N,F,9,0.071
BIR,G,24,N,F,10,0.073
BIR,G,24,N,F,11,0.06
BIR,G,24,N,F,12,0.074
BIR,G,24,N,F,13,0.073
BIR,G,24,N,F,14,0.065
BIR,G,24,N,F,15,0.065
BIR,G,24,N,F,16,0.089
BIR,G,24,N,F,17,0.057
BIR,G,24,N,F,18,0.076
BIR,G,24,N,F,19,0.081
BIR,G,24,N,F,20,0.086
BIR,L,24,N,F,1,0.068
BIR,L,24,N,F,2,0.078
BIR,L,24,N,F,3,0.085
BIR,L,24,N,F,4,0.087
BIR,L,24,N,F,5,0.089
BIR,L,24,N,F,6,0.077
BIR,L,24,N,F,7,0.091
BIR,L,24,N,F,8,0.077
BIR,L,24,N,F,9,0.083
BIR,L,24,N,F,10,0.099
BIR,L,24,N,F,11,0.099
BIR,L,24,N,F,12,0.075
