"Host","Parasitoid","Temp","Rep","flies_checked_n","melanized_n"
"PST","A",20,5,23,10
"PST","A",20,6,19,17
"PST","A",20,12,31,29
"PST","A",20,13,26,20
"PST","A",20,14,23,18
"PST","A",20,15,32,19
"PST","A",20,16,17,14
"PST","A",24,5,31,13
"PST","A",24,6,18,8
"PST","A",24,12,28,14
"PST","A",24,13,9,5
"PST","A",24,14,20,7
"PST","A",24,15,28,14
"PST","A",24,16,22,12
"PST","A",28,5,,
"PST","A",28,6,,
"PST","A",28,12,,
"PST","A",28,13,,
"PST","A",28,14,,
"PST","A",28,15,,
"PST","A",28,16,,
"PST","C",20,5,21,11
"PST","C",20,6,17,6
"PST","C",20,12,15,1
"PST","C",20,13,19,8
"PST","C",20,14,15,7
"PST","C",20,15,33,8
"PST","C",20,16,2,1
"PST","C",24,5,18,1
"PST","C",24,6,12,5
"PST","C",24,12,27,2
"PST","C",24,13,21,3
"PST","C",24,14,22,2
"PST","C",24,16,16,3
"PST","C",28,5,,
"PST","C",28,6,,
"PST","C",28,12,,
"PST","C",28,13,,
"PST","C",28,14,,
"PST","C",28,15,,
"PST","C",28,16,,
"PST","D",20,1,2,0
"PST","D",20,2,4,0
"PST","D",20,3,7,4
"PST","D",20,4,4,4
"PST","D",20,5,6,1
"PST","D",20,6,5,2
"PST","D",20,7,,
"PST","D",20,8,,
"PST","D",24,2,2,1
"PST","D",24,3,1,0
"PST","D",24,4,,
"PST","D",24,5,1,0
"PST","D",24,6,2,0
"PST","D",24,7,1,0
"PST","D",24,8,,
"PST","D",28,1,,
"PST","D",28,2,,
"PST","D",28,3,,
"PST","D",28,4,,
"PST","D",28,5,,
"PST","D",28,6,,
"PST","D",28,7,,
"PST","D",28,8,,
"PST","G",20,5,7,7
"PST","G",20,6,11,11
"PST","G",20,12,5,5
"PST","G",20,13,0,0
"PST","G",20,14,11,11
"PST","G",20,15,23,23
"PST","G",20,16,8,8
"PST","G",24,5,1,1
"PST","G",24,6,1,1
"PST","G",24,12,1,1
"PST","G",24,13,,
"PST","G",24,14,4,4
"PST","G",24,15,6,6
"PST","G",24,16,,
"PST","G",28,5,,
"PST","G",28,6,,
"PST","G",28,12,,
"PST","G",28,13,,
"PST","G",28,14,,
"PST","G",28,15,,
"PST","G",28,16,,
"PST","L",20,5,28,8
"PST","L",20,6,41,28
"PST","L",20,12,19,12
"PST","L",20,13,22,9
"PST","L",20,14,29,19
"PST","L",20,15,27,10
"PST","L",24,5,19,8
"PST","L",24,6,13,9
"PST","L",24,12,28,15
"PST","L",24,13,24,17
"PST","L",24,14,29,16
"PST","L",24,15,23,9
"PST","L",24,16,23,14
"PST","L",28,5,,
"PST","L",28,6,,
"PST","L",28,12,,
"PST","L",28,13,,
"PST","L",28,14,,
"PST","L",28,15,,
"PST","L",28,16,,
