"Host","Parasitoid","Temp","H/P","Sex","individual","body_weight"
"BIP","A",28,"H","F",1,0.138
"BIP","A",28,"H","F",2,0.143
"BIP","A",28,"H","F",3,0.123
"BIP","A",28,"H","F",4,0.147
"BIP","A",28,"H","F",5,0.191
"BIP","A",28,"H","F",6,0.147
"BIP","A",28,"H","F",7,0.128
"BIP","A",28,"H","F",8,0.127
"BIP","A",28,"H","F",9,0.144
"BIP","A",28,"H","F",10,0.185
"BIP","A",28,"H","F",11,0.178
"BIP","A",28,"H","F",12,0.145
"BIP","A",28,"H","F",13,0.156
"BIP","A",28,"H","F",14,0.151
"BIP","A",28,"H","F",15,0.14
"BIP","A",28,"H","F",16,0.144
"BIP","A",28,"H","F",17,0.165
"BIP","A",28,"H","F",18,0.141
"BIP","A",28,"H","F",19,0.148
"BIP","A",28,"H","F",20,0.172
"BIP","G",28,"H","F",1,0.118
"BIP","G",28,"H","F",2,0.135
"BIP","G",28,"H","F",3,0.13
"BIP","G",28,"H","F",4,0.137
"BIP","G",28,"H","F",5,0.152
"BIP","G",28,"H","F",6,0.138
"BIP","G",28,"H","F",7,0.104
"BIP","G",28,"H","F",8,0.125
"BIP","G",28,"H","F",9,0.155
"BIP","G",28,"H","F",10,0.143
"BIP","G",28,"H","F",11,0.115
"BIP","G",28,"H","F",12,0.134
"BIP","G",28,"H","F",13,0.164
"BIP","G",28,"H","F",14,0.127
"BIP","G",28,"H","F",15,0.125
"BIP","G",28,"H","F",16,0.113
"BIP","G",28,"H","F",17,0.122
"BIP","G",28,"H","F",18,0.164
"BIP","G",28,"H","F",19,0.137
"BIP","G",28,"H","F",20,0.111
"BIP","L",28,"H","F",1,0.134
"BIP","L",28,"H","F",2,0.148
"BIP","L",28,"H","F",3,0.118
"BIP","L",28,"H","F",4,0.171
"BIP","L",28,"H","F",5,0.126
"BIP","L",28,"H","F",6,0.152
"BIP","L",28,"H","F",7,0.146
"BIP","L",28,"H","F",8,0.156
"BIP","L",28,"H","F",9,0.141
"BIP","L",28,"H","F",10,0.144
"BIP","L",28,"H","F",11,0.131
"BIP","L",28,"H","F",12,0.148
"BIP","L",28,"H","F",13,0.132
"BIP","L",28,"H","F",14,0.128
"BIP","L",28,"H","F",15,0.128
"BIP","L",28,"H","F",16,0.14
"BIP","L",28,"H","F",17,0.108
"BIP","L",28,"H","F",18,0.122
"BIP","L",28,"H","F",19,0.132
"BIP","L",28,"H","F",20,0.151
"BIP","C",28,"H","F",1,0.133
"BIP","C",28,"H","F",2,0.179
"BIP","C",28,"H","F",3,0.11
"BIP","C",28,"H","F",4,0.141
"BIP","C",28,"H","F",5,0.125
"BIP","C",28,"H","F",6,0.16
"BIP","C",28,"H","F",7,0.131
"BIP","C",28,"H","F",8,0.116
"BIP","C",28,"H","F",9,0.127
"BIP","C",28,"H","F",10,0.114
"BIP","C",28,"H","F",11,0.155
"BIP","C",28,"H","F",12,0.16
"BIP","C",28,"H","F",13,0.146
"BIP","C",28,"H","F",14,0.138
"BIP","C",28,"H","F",15,0.183
"BIP","C",28,"H","F",16,0.143
"BIP","C",28,"H","F",17,0.146
"BIP","C",28,"H","F",18,0.138
"BIP","C",28,"H","F",19,0.139
"BIP","C",28,"H","F",20,0.148
"BIP","D",28,"H","F",1,0.142
"BIP","D",28,"H","F",2,0.16
"BIP","D",28,"H","F",4,0.069
"BIP","D",28,"H","F",5,0.13
"BIP","D",28,"H","F",6,0.134
"BIP","D",28,"H","F",7,0.127
"BIP","D",28,"H","F",8,0.134
"BIP","D",28,"H","F",9,0.11
"BIP","D",28,"H","F",10,0.132
"BIP","D",28,"H","F",11,0.153
"BIP","D",28,"H","F",12,0.126
"BIP","D",28,"H","F",13,0.125
"BIP","D",28,"H","F",14,0.125
"BIP","D",28,"H","F",15,0.078
"BIP","D",28,"H","F",16,0.135
"BIP","D",28,"H","F",17,0.145
"BIP","D",28,"H","F",18,0.145
"BIP","D",28,"H","F",19,0.161
"BIP","D",28,"H","F",20,
"BIP","A",24,"H","F",1,0.146
"BIP","A",24,"H","F",2,0.131
"BIP","A",24,"H","F",3,0.153
"BIP","A",24,"H","F",4,0.148
"BIP","A",24,"H","F",5,0.147
"BIP","A",24,"H","F",6,0.135
"BIP","A",24,"H","F",7,0.136
"BIP","A",24,"H","F",8,0.174
"BIP","A",24,"H","F",9,0.192
"BIP","A",24,"H","F",10,0.142
"BIP","A",24,"H","F",11,0.131
"BIP","A",24,"H","F",12,0.145
"BIP","A",24,"H","F",13,0.12
"BIP","A",24,"H","F",14,0.155
"BIP","A",24,"H","F",15,0.167
"BIP","A",24,"H","F",16,0.125
"BIP","A",24,"H","F",17,0.135
"BIP","A",24,"H","F",18,0.124
"BIP","A",24,"H","F",19,0.135
"BIP","A",24,"H","F",20,0.155
"BIP","G",24,"H","F",1,0.136
"BIP","G",24,"H","F",2,0.148
"BIP","G",24,"H","F",3,0.187
"BIP","G",24,"H","F",4,0.119
"BIP","G",24,"H","F",5,0.198
"BIP","G",24,"H","F",6,0.129
"BIP","G",24,"H","F",7,0.137
"BIP","G",24,"H","F",8,0.129
"BIP","G",24,"H","F",9,0.139
"BIP","G",24,"H","F",10,0.12
"BIP","G",24,"H","F",11,0.152
"BIP","G",24,"H","F",12,0.173
"BIP","G",24,"H","F",13,0.133
"BIP","G",24,"H","F",14,0.092
"BIP","G",24,"H","F",15,0.121
"BIP","G",24,"H","F",16,0.134
"BIP","G",24,"H","F",17,0.13
"BIP","G",24,"H","F",18,0.13
"BIP","G",24,"H","F",19,0.101
"BIP","G",24,"H","F",20,0.122
"BIP","L",24,"H","F",1,0.226
"BIP","L",24,"H","F",2,0.126
"BIP","L",24,"H","F",3,0.144
"BIP","L",24,"H","F",4,0.166
"BIP","L",24,"H","F",5,0.145
"BIP","L",24,"H","F",6,0.152
"BIP","L",24,"H","F",7,0.133
"BIP","L",24,"H","F",8,0.143
"BIP","L",24,"H","F",9,0.207
"BIP","L",24,"H","F",10,0.159
"BIP","L",24,"H","F",11,0.158
"BIP","L",24,"H","F",12,0.178
"BIP","L",24,"H","F",13,0.134
"BIP","L",24,"H","F",14,0.206
"BIP","L",24,"H","F",15,0.137
"BIP","L",24,"H","F",16,0.171
"BIP","L",24,"H","F",17,0.22
"BIP","L",24,"H","F",18,0.134
"BIP","L",24,"H","F",19,0.222
"BIP","L",24,"H","F",20,0.145
"BIP","C",24,"H","F",1,0.19
"BIP","C",24,"H","F",2,0.143
"BIP","C",24,"H","F",3,0.169
"BIP","C",24,"H","F",4,0.194
"BIP","C",24,"H","F",5,0.142
"BIP","C",24,"H","F",6,0.149
"BIP","C",24,"H","F",7,0.224
"BIP","C",24,"H","F",8,0.215
"BIP","C",24,"H","F",9,0.177
"BIP","C",24,"H","F",10,0.173
"BIP","C",24,"H","F",11,0.174
"BIP","C",24,"H","F",12,0.136
"BIP","C",24,"H","F",13,0.142
"BIP","C",24,"H","F",14,0.142
"BIP","C",24,"H","F",15,0.149
"BIP","C",24,"H","F",16,0.154
"BIP","C",24,"H","F",17,0.138
"BIP","C",24,"H","F",18,0.14
"BIP","C",24,"H","F",19,0.153
"BIP","C",24,"H","F",20,0.214
"BIP","D",24,"H","F",1,0.136
"BIP","D",24,"H","F",2,0.232
"BIP","D",24,"H","F",3,0.193
"BIP","D",24,"H","F",4,0.163
"BIP","D",24,"H","F",5,0.167
"BIP","D",24,"H","F",6,0.122
"BIP","D",24,"H","F",7,0.17
"BIP","D",24,"H","F",8,0.177
"BIP","D",24,"H","F",9,0.17
"BIP","D",24,"H","F",10,0.116
"BIP","D",24,"H","F",11,0.19
"BIP","D",24,"H","F",12,0.176
"BIP","D",24,"H","F",13,0.12
"BIP","D",24,"H","F",14,0.162
"BIP","D",24,"H","F",15,0.239
"BIP","D",24,"H","F",16,0.206
"BIP","D",24,"H","F",17,
"BIP","D",24,"H","F",18,
"BIP","D",24,"H","F",19,
"BIP","D",24,"H","F",20,
"BIP","A",20,"H","F",1,0.143
"BIP","A",20,"H","F",2,0.153
"BIP","A",20,"H","F",3,0.146
"BIP","A",20,"H","F",4,0.144
"BIP","A",20,"H","F",5,0.136
"BIP","A",20,"H","F",6,0.122
"BIP","A",20,"H","F",7,0.148
"BIP","A",20,"H","F",8,0.144
"BIP","A",20,"H","F",9,0.145
"BIP","A",20,"H","F",10,0.162
"BIP","A",20,"H","F",11,0.094
